sym,price,adv,score,strategy,params,sharpe,maxdd,trades,held
ARKK,86.21,485864325.2910834,1.3140613144405542,atr_channel,"{'ema_window': 10, 'k': 2.0}",0.6330583101702969,-0.19343354184048944,14,False
ALB,134.245,318994754.90683335,1.3138759333106362,bollinger,"{'window': 30, 'n_std': 2.5}",0.8545199575413204,-0.13050363883682536,8,False
AMPX,10.1368,86210210.01809336,1.2795108186696942,bollinger,"{'window': 10, 'n_std': 1.5}",0.6679320196772256,-0.5486545591783606,38,False
CLSK,12.41,313838245.6125,1.2669968116768515,rsi_meanrevert,"{'window': 21, 'oversold': 25}",0.8408363701101917,-0.025538707102952696,1,False
ACHR,5.99,217645148.65200004,1.2667349672451849,bollinger,"{'window': 30, 'n_std': 2.0}",0.667273262893105,-0.2410958904109589,17,False
UEC,13.28,106088792.96383335,1.2613190156853729,rsi_meanrevert,"{'window': 7, 'oversold': 30}",0.6557077822111127,-0.25962487026194436,26,False
GEVO,1.7,5163291.192500001,1.259573543030566,rsi_meanrevert,"{'window': 7, 'oversold': 25}",0.6260856088255553,-0.3211414485294046,23,False
ONON,28.815,211778621.35875,1.222658420095627,rsi_meanrevert,"{'window': 7, 'oversold': 35}",0.509543563688104,-0.21344013355371205,38,False
LIF_TO,26.67,6032826.436666666,1.2196241501241865,rsi_meanrevert,"{'window': 21, 'oversold': 30}",0.8777540255606759,-0.08115323011211961,4,False
PBH_TO,80.68,18151703.401666664,1.210301341494598,bollinger,"{'window': 30, 'n_std': 2.5}",0.502362687221575,-0.1280906416453671,15,False
IVN_TO,12.47,43682167.78733334,1.1839643767404602,ts_momentum,"{'lookback': 63, 'threshold': 0.02}",0.6231809905578386,-0.38111520189400194,23,False
HBM_TO,41.57,83306518.6725,1.172873481954008,ts_momentum,"{'lookback': 63, 'threshold': 0.0}",0.5874629412399227,-0.4668296515505913,39,False
SNOW,314.725,1607551384.853167,1.142810013629502,bollinger,"{'window': 30, 'n_std': 2.5}",0.7690715303537631,-0.2793229305753572,13,False
DASH,233.22,844221630.1649997,1.1388163064732606,ts_momentum,"{'lookback': 63, 'threshold': 0.0}",0.6268081752670178,-0.3809174080606197,26,False
SOFI,18.845,1305509463.0454168,1.1055298003394762,bollinger,"{'window': 10, 'n_std': 1.5}",0.622695424675483,-0.41308721464902587,47,False
CMCSA,27.06,803145991.5112498,1.1055284826063794,bollinger,"{'window': 30, 'n_std': 3.0}",0.49225207811105853,-0.07504816824880323,6,False
STNE,9.695,45387762.419416666,1.105227584650667,bollinger,"{'window': 15, 'n_std': 2.0}",0.4152246258504428,-0.24944139119361186,22,False
DKNG,25.9249,309589211.32120997,1.1004814544402293,bollinger,"{'window': 30, 'n_std': 2.0}",0.992796973910827,-0.37315932407207775,20,False
SE,121.05,464446109.80850005,1.0873944099384867,ts_momentum,"{'lookback': 63, 'threshold': 0.0}",0.6576837108740603,-0.393725061897915,19,False
ABNB,190.46,660854241.8196666,1.0817238531931426,bollinger,"{'window': 10, 'n_std': 2.5}",0.44953529334095227,-0.0903043460981886,8,False
ZS,169.081,464450283.72594994,1.07079791570049,bollinger,"{'window': 15, 'n_std': 3.0}",0.5735511140726672,-0.03417504955933448,2,False
ENPH,37.525,259476451.8035,1.0543833807110032,rsi_meanrevert,"{'window': 21, 'oversold': 25}",0.8451864530455416,-0.06840961659774292,2,False
HIVE_TO,4.02,18608908.641,1.033540416022281,bollinger,"{'window': 30, 'n_std': 3.0}",0.46871031186676576,-0.012088608680734247,1,False
CORN,19.53,6395136.507333333,1.023748204321573,bollinger,"{'window': 20, 'n_std': 1.5}",0.18268128100986494,-0.10227682042919939,35,False
DCBO_TO,35.67,1736814.3048333335,1.014724221545928,rsi_meanrevert,"{'window': 7, 'oversold': 20}",0.5126111710454163,-0.16425965790991492,16,False
GOOS_TO,11.48,2123466.062166666,0.9933027139585567,rsi_meanrevert,"{'window': 14, 'oversold': 25}",0.7809777530786631,-0.06466354560346776,3,False
PET_TO,18.64,4310336.182666668,0.9928616255027793,rsi_meanrevert,"{'window': 7, 'oversold': 20}",0.35577064201178826,-0.13712878339306034,15,False
LSPD_TO,14.74,9366091.168499999,0.9912641064910386,atr_channel,"{'ema_window': 10, 'k': 2.5}",0.6126973291842511,-0.24598079585597776,15,False
DNN,3.775,79173408.96683334,0.988180967476533,bollinger,"{'window': 20, 'n_std': 2.0}",0.6204854248079132,-0.28101286075475995,21,False
OPEN,3.46,253537115.09333336,0.9798332393442784,atr_channel,"{'ema_window': 10, 'k': 1.5}",0.7529475139485505,-0.5082004795874795,21,False
BCE_TO,32.56,136665273.81966668,0.9762537840210483,rsi_meanrevert,"{'window': 21, 'oversold': 35}",0.3397346982100928,-0.13663868826859227,12,False
OTEX_TO,34.86,45395403.41683333,0.9654276353322166,atr_channel,"{'ema_window': 10, 'k': 3.0}",0.6122328482016431,-0.04364441025053967,3,False
DUOL,144.345,172061716.07558337,0.9535222102950145,atr_channel,"{'ema_window': 20, 'k': 2.5}",0.6206097081950523,-0.22821665200649588,10,False
CIFR,16.0,621996422.7019584,0.9417038699762112,ts_momentum,"{'lookback': 189, 'threshold': 0.0}",0.6092278838684795,-0.6703305408681212,27,False
CROX,122.77,137922603.52350003,0.9334983504767576,atr_channel,"{'ema_window': 10, 'k': 1.5}",0.4832806654514953,-0.30017169738110905,33,False
ROKU,158.46,617063883.4839168,0.9223050034506919,rsi_meanrevert,"{'window': 7, 'oversold': 35}",0.7138861530308017,-0.4846540578139312,41,False
MARA,11.5001,559727332.317335,0.9044213072403121,macd,"{'fast': 16, 'slow': 26}",0.6828572925979789,-0.7848083293516557,35,False
BYD_TO,119.85,13304519.546999998,0.8919487220375248,atr_channel,"{'ema_window': 10, 'k': 1.5}",0.2486602718338926,-0.1817725037323049,34,False
GLOB,39.645,69897867.76941667,0.8889506258625691,bollinger,"{'window': 15, 'n_std': 2.0}",0.6124863470776344,-0.37933720715610275,36,False
DML_TO,5.18,13703320.431333331,0.8865881954295858,bollinger,"{'window': 20, 'n_std': 2.0}",0.533482696434219,-0.289295939355376,21,False
NKE,39.6,1043652690.6666665,0.8721015414675528,bollinger,"{'window': 15, 'n_std': 3.0}",0.6271763973417029,-0.07398885305243019,5,False
RBLX,38.44,524170135.9105,0.8681596499924186,atr_channel,"{'ema_window': 20, 'k': 2.5}",0.729810577065838,-0.3426199941676963,12,False
PAGS,8.755,26987974.89606834,0.8405050480024954,rsi_meanrevert,"{'window': 7, 'oversold': 20}",0.5045258033632058,-0.19004762083243731,10,False
WEAT,25.5699,11928906.419533333,0.8160678050041347,bollinger,"{'window': 10, 'n_std': 2.0}",0.2802382411942337,-0.17381724729115022,36,False
CCA_TO,60.04,8188978.294,0.760542489044802,rsi_meanrevert,"{'window': 21, 'oversold': 25}",0.5275265908521373,-0.043904856293360495,2,False
TOST,36.59,333499956.306,0.7557064575423582,bollinger,"{'window': 10, 'n_std': 2.0}",0.5011560146910928,-0.34128317097749417,29,False
SPB_TO,7.19,4289278.402833334,0.751952957441133,bollinger,"{'window': 15, 'n_std': 1.5}",0.4836122175869621,-0.3980064609644943,55,False
JOBY,7.226055,332676991.1889255,0.7269572871314639,bollinger,"{'window': 30, 'n_std': 2.5}",0.46172670565688956,-0.20008168021776707,9,False
PINS,23.355,311304327.9971666,0.7223687481441732,bollinger,"{'window': 15, 'n_std': 1.5}",0.46985472710854037,-0.43151572476104194,41,False
WELL_TO,4.53,6331750.2793333335,0.696045879748162,macd,"{'fast': 16, 'slow': 34}",0.35628083762534984,-0.43786410102058604,38,False
MDB,404.655,583758402.7643332,0.6678493278943264,macd,"{'fast': 16, 'slow': 26}",0.38795906185710344,-0.588036053519154,40,False
INTU,358.06,1434393435.3985837,0.6517607053364508,atr_channel,"{'ema_window': 20, 'k': 3.0}",0.3181615871602839,-0.12774354496777973,8,False
UPS,105.33,540932662.3648334,0.5771532136484787,rsi_meanrevert,"{'window': 21, 'oversold': 25}",0.39806324526007164,-0.05872483221476532,2,False
PSNY,12.12,2252751.481333333,0.5441060514737802,bollinger,"{'window': 10, 'n_std': 2.0}",0.43791984171619136,-0.48782207952605994,29,False
CHPT,5.85,3772138.070833334,0.5233634040057542,bollinger,"{'window': 20, 'n_std': 2.5}",0.5133766677602776,-0.4478445097313455,17,False
SNAP,5.71,206803142.98033333,0.5131779165158818,bollinger,"{'window': 30, 'n_std': 3.0}",0.5270321102444918,-0.2355584082156612,9,False
IQ,1.005,7261219.6015,0.4861183403311581,bollinger,"{'window': 30, 'n_std': 1.5}",0.3001775783323878,-0.554582858734378,33,False
UNG,10.1479,81095971.63780832,0.47769444377547476,rsi_meanrevert,"{'window': 14, 'oversold': 35}",0.3071567288687204,-0.3022467666352395,16,False
LU,1.345,1464702.6900000002,0.4646918323534866,macd,"{'fast': 12, 'slow': 21}",0.3384209134468992,-0.7128936812771001,45,False
ACN,189.61,1271494552.6471667,0.4357431536748289,bollinger,"{'window': 20, 'n_std': 2.5}",0.2674736167957674,-0.20698832307490955,15,False
PATH,16.4399,845215355.7230533,0.4316206069549551,bollinger,"{'window': 15, 'n_std': 3.0}",0.5035302031377179,-0.0808163265306121,2,False
DNA,7.285,10124498.554833334,0.420215243074171,bollinger,"{'window': 15, 'n_std': 2.5}",0.479467141690948,-0.15887951546614765,5,False
LCID,4.945,102944097.00677332,0.40282849443684776,atr_channel,"{'ema_window': 10, 'k': 1.5}",0.3214658806735586,-0.46372998403848864,22,False
