asset_class,sym,strategy,sweep_param,sweep_value,fixed_kwargs,oos_score,wfe,oos_return,oos_maxdd,oos_trades,oos_win_rate,folds
equity,ENB.TO,zscore_ou,entry_z,3.0,window=20,0.0,0.0,6.243221035358015e-05,-0.0007745934656123721,0,0.0,10
equity,VDY.TO,bollinger,n_std,1.5,window=20,6.662192596658122,1.0625447793301155,0.025010653245333653,-0.0531412376003777,19,0.7894736842105263,9
equity,VDY.TO,bollinger,n_std,2.0,window=20,5.1971013644337,0.8059490169933388,0.01926945020679722,-0.04658382052335219,14,0.7857142857142857,9
equity,VDY.TO,bollinger,n_std,2.5,window=20,3.600529935803353,0.5471990780056684,0.015587599931661355,-0.014104154990831286,6,1.0,9
equity,VDY.TO,bollinger,n_std,3.0,window=20,0.46475586937661756,1.3299603450784752,0.0015657382786729876,-0.013777503598601859,2,0.5,9
equity,VDY.TO,bollinger,n_std,3.5,window=20,0.0,0.0,0.0,0.0,0,0.0,9
equity,VDY.TO,rsi_meanrevert,oversold,20.0,window=14,0.12267802773168153,1.4967156839039302,0.00495993160587581,-0.06375838926174482,1,1.0,9
equity,VDY.TO,rsi_meanrevert,oversold,25.0,window=14,2.2201543526051193,0.6642816291825667,0.010626630086285295,-0.06428737611904067,4,1.0,9
equity,VDY.TO,rsi_meanrevert,oversold,30.0,window=14,12.844625037383345,2.5419356079479316,0.015396261923107144,-0.06428737611904067,7,1.0,9
equity,VDY.TO,rsi_meanrevert,oversold,35.0,window=14,8.020724755723245,0.9950538267186079,0.018559837856021125,-0.058192263731879024,10,0.9,9
equity,VDY.TO,zscore_ou,entry_z,0.5,window=20,2.4355850452703125,1.5846990594305663,0.0051960743188206315,-0.04161002967340166,17,0.7647058823529411,9
equity,VDY.TO,zscore_ou,entry_z,1.0,window=20,12.941041131207164,2.4153046763560915,0.018646792043971475,-0.0531412376003777,20,0.85,9
equity,VDY.TO,zscore_ou,entry_z,1.5,window=20,6.862503731222905,0.8740950886143045,0.026402154297296213,-0.0531412376003777,18,0.8333333333333334,9
equity,VDY.TO,zscore_ou,entry_z,2.0,window=20,5.600985049273263,0.8057793039545411,0.022413229728859063,-0.0531412376003777,13,0.8461538461538461,9
equity,VDY.TO,zscore_ou,entry_z,2.5,window=20,3.600529935803353,0.5819809238419382,0.015587599931661355,-0.014104154990831286,6,1.0,9
equity,VDY.TO,zscore_ou,entry_z,3.0,window=20,0.6192524414171928,1.0763311978807184,0.0026171588544412483,-0.013777503598601859,2,1.0,9
crypto,XBTUSD,bollinger,n_std,1.5,window=20,0.06734257156809824,0.30509862259188714,-0.030325148586020544,-0.4644705015959981,12,0.6666666666666666,12
crypto,XBTUSD,bollinger,n_std,2.0,window=20,-0.6267133080216657,-4.338206639715027,-0.021411376257411362,-0.49387896980962565,8,0.75,12
crypto,XBTUSD,bollinger,n_std,2.5,window=20,5.382783656375022,0.0,-0.019450635355931844,-0.4599482050652468,6,0.6666666666666666,12
crypto,XBTUSD,bollinger,n_std,3.0,window=20,5.314824115026034,18.229853570820104,0.01438597768949551,-0.11846511059513631,3,0.6666666666666666,12
crypto,XBTUSD,bollinger,n_std,3.5,window=20,0.0,0.0,0.0,0.0,0,0.0,12
crypto,XBTUSD,rsi_meanrevert,oversold,20.0,window=14,1.8194968568699175,4.808467660051007,0.02428352686381635,-0.10267950896675304,2,1.0,12
crypto,XBTUSD,rsi_meanrevert,oversold,25.0,window=14,1.2466965751998138,3.056915607462907,0.018390282983097733,-0.09276292481685577,2,1.0,12
crypto,XBTUSD,rsi_meanrevert,oversold,30.0,window=14,0.09089874203186783,0.19377655418816703,-0.010885544606568487,-0.4166661416661941,4,0.75,12
crypto,XBTUSD,rsi_meanrevert,oversold,35.0,window=14,2.2800167485189884,1.7834353232776519,-0.0024253959106805742,-0.4833908383291413,7,0.8571428571428571,12
crypto,XBTUSD,zscore_ou,entry_z,0.5,window=20,20.00644586296171,44.87680725882721,-0.0022495240127205405,-0.5142293851435709,23,0.8260869565217391,12
crypto,XBTUSD,zscore_ou,entry_z,1.0,window=20,4.672394846271895,6.333698725711895,0.009597243238753292,-0.5142293851435709,19,0.8421052631578947,12
crypto,XBTUSD,zscore_ou,entry_z,1.5,window=20,-0.13973813168988494,-0.3701782368058549,-0.03039964689732209,-0.514229385143571,11,0.7272727272727273,12
crypto,XBTUSD,zscore_ou,entry_z,2.0,window=20,-0.8245452545702237,-2.751631908957912,-0.022747872133582803,-0.514229385143571,6,0.8333333333333334,12
crypto,XBTUSD,zscore_ou,entry_z,2.5,window=20,5.17633873243702,33.362392011203085,-0.01951098680638465,-0.514229385143571,5,0.8,12
crypto,XBTUSD,zscore_ou,entry_z,3.0,window=20,5.347742735338888,10.263183632848449,0.01824376965177742,-0.11846511059513631,3,1.0,12
crypto,ETHUSD,bollinger,n_std,1.5,window=20,4.191470482195534,527.4645536212512,-0.02571367370791906,-0.5095173801679131,6,0.6666666666666666,5
